datetime,temp,humidity,rainfall,windspeed,FLOOD
2022-12-22,8.1,32.4,0.0,7.2,0
2022-12-23,7.4,34.8,0.0,7.6,0
2022-12-24,7.2,47.4,0.0,9.7,0
2022-12-25,7.6,43.6,0.0,8.8,0
2022-12-26,8.2,38.1,0.0,6.4,0
2022-12-27,7.7,34.1,0.0,5.4,0
2022-12-28,8.2,32.3,0.0,5.0,0
2022-12-29,8.7,36.3,0.0,8.3,0
2022-12-30,9.2,63.4,8.33,16.6,0
2022-12-31,8.1,63.8,0.0,4.3,0
2024-01-01,8.6,46.3,0.0,7.6,0
2024-01-02,8.2,41.1,0.0,4.3,0
2024-01-03,7.5,32.9,0.0,5.4,0
2024-01-04,6.9,33.9,0.0,5.4,0
2024-01-05,7.5,33.3,0.0,6.5,0
2024-01-06,7.0,42.4,0.0,5.8,0
2024-01-07,7.4,43.2,0.0,5.4,0
2024-01-08,7.8,44.1,0.0,4.7,0
2024-01-09,7.8,42.5,0.0,6.5,0
2024-01-10,8.2,35.2,0.0,4.7,0
2024-01-11,8.9,33.0,0.0,4.3,0
2024-01-12,9.7,33.1,0.0,6.5,0
2024-01-13,10.7,34.0,0.0,3.6,0
2024-01-14,9.8,37.0,0.0,7.2,0
2024-01-15,8.2,44.8,0.0,9.0,0
2024-01-16,7.1,45.2,0.0,7.9,0
2024-01-17,6.7,54.3,0.0,7.9,0
2024-01-18,7.1,59.2,0.0,6.5,0
2024-01-19,7.1,56.5,0.0,7.6,0
2024-01-20,6.5,56.3,0.0,8.3,0
2024-01-21,6.9,50.1,0.0,5.4,0
2024-01-22,7.1,46.3,0.0,7.9,0
2024-01-23,6.3,49.2,0.0,7.6,0
2024-01-24,5.6,42.8,0.0,7.9,0
2024-01-25,6.0,41.0,0.0,6.8,0
2024-01-26,6.7,43.1,0.0,7.2,0
2024-01-27,7.1,45.0,0.0,6.5,0
2024-01-28,7.6,42.9,0.0,6.5,0
2024-01-29,7.7,47.4,0.0,6.8,0
2024-01-30,7.6,52.3,0.0,7.9,0
2024-01-31,8.0,55.3,0.0,9.7,0
2024-02-01,5.6,89.0,62.5,16.6,0
2024-02-02,6.5,61.8,0.0,9.7,0
2024-02-03,8.1,38.5,0.0,6.5,0
2024-02-04,6.2,73.8,45.83,7.2,0
2024-02-05,6.8,81.4,54.17,7.6,0
2024-02-06,7.6,70.8,4.17,9.4,0
2024-02-07,7.9,47.2,0.0,7.6,0
2024-02-08,8.7,39.5,0.0,4.3,0
2024-02-09,9.0,35.9,0.0,8.3,0
2024-02-10,9.0,47.3,0.0,6.1,0
2024-02-11,9.7,35.4,0.0,20.5,0
2024-02-12,10.2,30.9,0.0,7.2,0
2024-02-13,10.9,30.1,0.0,11.2,0
2024-02-14,10.8,37.3,0.0,7.9,0
2024-02-15,11.0,43.8,0.0,7.6,0
2024-02-16,11.5,44.3,0.0,9.4,0
2024-02-17,11.7,41.6,0.0,8.3,0
2024-02-18,11.8,46.0,0.0,6.8,0
2024-02-19,12.5,49.8,16.67,12.6,0
2024-02-20,10.3,74.6,66.67,11.2,0
2024-02-21,8.8,69.9,66.67,13.7,0
2024-02-22,7.0,62.1,12.5,13.0,0
2024-02-23,7.2,34.4,0.0,9.0,0
2024-02-24,6.5,29.0,0.0,10.8,0
2024-02-25,7.1,33.2,0.0,7.6,0
2024-02-26,9.6,27.7,0.0,20.5,0
2024-02-27,7.7,64.3,41.67,16.6,0
2024-02-28,10.4,63.2,0.0,9.4,0
2024-02-29,12.7,46.3,0.0,7.2,0
2024-03-01,13.3,43.0,0.0,10.4,0
2024-03-02,9.6,87.7,62.5,9.4,0
2024-03-03,10.2,79.7,58.33,14.8,0
2024-03-04,9.1,79.2,58.33,7.9,0
2024-03-05,10.6,57.6,0.0,5.4,0
2024-03-06,12.3,43.8,4.17,14.8,0
2024-03-07,12.0,47.0,0.0,12.2,0
2024-03-08,12.1,45.9,0.0,5.0,0
2024-03-09,13.0,41.2,0.0,5.4,0
2024-03-10,14.5,37.5,0.0,9.4,0
2024-03-11,15.3,47.6,0.0,10.4,0
2024-03-12,14.2,43.4,0.0,11.5,0
2024-03-13,13.8,45.2,4.17,20.5,0
2024-03-14,13.9,43.1,0.0,7.6,0
2024-03-15,14.3,35.5,0.0,13.0,0
2024-03-16,14.0,35.2,0.0,13.3,0
2024-03-17,14.7,36.4,0.0,7.9,0
2024-03-18,15.1,32.2,0.0,14.4,0
2024-03-19,13.6,29.3,0.0,10.4,0
2024-03-20,15.1,28.2,0.0,10.4,0
2024-03-21,13.1,48.8,0.0,14.0,0
2024-03-22,14.3,64.8,0.0,10.1,0
2024-03-23,15.7,51.8,0.0,11.2,0
2024-03-24,16.5,33.3,0.0,17.3,0
2024-03-25,16.7,36.2,0.0,10.1,0
2024-03-26,17.8,31.9,0.0,8.3,0
2024-03-27,18.1,40.1,0.0,15.5,0
2024-03-28,20.6,35.7,0.0,29.9,0
2024-03-29,21.2,34.8,0.0,24.5,0
2024-03-30,19.3,45.9,50.0,14.4,0
2024-03-31,17.2,50.4,29.17,19.1,0
2024-04-01,18.6,34.3,0.0,8.3,0
2024-04-02,19.5,28.7,0.0,18.4,0
2024-04-03,18.9,26.1,0.0,19.4,0
2024-04-04,19.0,30.4,0.0,10.8,0
2024-04-05,18.8,32.7,0.0,20.2,0
2024-04-06,18.2,23.2,0.0,17.3,0
2024-04-07,17.6,22.5,0.0,16.2,0
2024-04-08,17.4,23.3,0.0,11.5,0
2024-04-09,17.2,22.6,0.0,13.3,0
2024-04-10,17.7,24.0,0.0,12.2,0
2024-04-11,18.1,27.3,0.0,13.0,0
2024-04-12,19.1,27.8,0.0,16.9,0
2024-04-13,19.5,30.1,0.0,15.1,0
2024-04-14,20.3,37.6,0.0,11.9,0
2024-04-15,18.8,51.1,16.67,11.2,0
2024-04-16,20.7,44.6,0.0,22.3,0
2024-04-17,21.6,33.7,0.0,13.0,0
2024-04-18,22.5,29.4,0.0,26.3,0
2024-04-19,22.7,32.4,4.17,24.1,0
2024-04-20,21.3,37.7,4.17,18.7,0
2024-04-21,21.0,34.6,0.0,14.4,0
2024-04-22,19.9,39.7,20.83,19.1,0
2024-04-23,19.1,40.8,8.33,20.2,0
2024-04-24,19.3,30.8,0.0,13.3,0
2024-04-25,20.8,28.6,0.0,16.2,0
2024-04-26,22.0,26.6,0.0,24.5,0
2024-04-27,20.5,34.6,12.5,13.7,0
2024-04-28,20.4,35.5,0.0,12.2,0
2024-04-29,21.2,31.1,16.67,18.0,0
2024-04-30,21.1,30.9,0.0,23.0,0
2024-05-01,19.5,20.8,0.0,24.5,0
2024-05-02,19.2,22.5,0.0,12.6,0
2024-05-03,21.7,21.7,0.0,16.2,0
2024-05-04,23.5,23.9,0.0,30.2,0
2024-05-05,22.9,28.1,0.0,22.0,0
2024-05-06,23.0,30.3,0.0,19.8,0
2024-05-07,22.0,42.0,4.17,22.3,0
2024-05-08,19.7,63.3,33.33,14.0,0
2024-05-09,19.2,73.0,54.17,11.2,0
2024-05-10,19.9,68.2,37.5,9.0,0
2024-05-11,18.8,72.8,45.83,9.4,0
2024-05-12,19.6,70.3,54.17,7.9,0
2024-05-13,21.2,53.8,8.33,18.0,0
2024-05-14,22.5,35.7,0.0,13.0,0
2024-05-15,23.1,30.3,0.0,10.8,0
2024-05-16,23.6,27.0,0.0,10.8,0
2024-05-17,24.8,28.0,0.0,14.4,0
2024-05-18,25.4,31.0,0.0,14.4,0
2024-05-19,25.3,33.0,0.0,14.4,0
2024-05-20,23.3,49.1,12.5,12.6,0
2024-05-21,22.0,60.8,25.0,16.6,0
2024-05-22,21.3,67.1,25.0,12.2,0
2024-05-23,22.7,61.6,12.5,13.3,0
2024-05-24,22.9,65.5,37.5,9.4,0
2024-05-25,23.2,62.0,33.33,8.6,0
2024-05-26,26.1,46.9,0.0,7.5,0
2024-05-27,27.1,35.8,0.0,13.0,0
2024-05-28,26.2,30.2,0.0,24.8,0
2024-05-29,26.5,30.6,0.0,24.1,0
2024-05-30,26.3,30.7,0.0,12.6,0
2024-05-31,26.4,21.7,0.0,23.8,0
2024-06-01,25.6,21.2,0.0,28.8,0
2024-06-02,22.9,42.6,20.83,15.8,0
2024-06-03,23.9,43.2,0.0,13.3,0
2024-06-04,24.5,36.1,0.0,8.3,0
2024-06-05,22.2,51.1,20.83,22.3,0
2024-06-06,23.1,50.4,4.17,16.6,0
2024-06-07,25.4,37.5,0.0,23.8,0
2024-06-08,26.0,27.1,0.0,21.2,0
2024-06-09,26.3,30.8,0.0,16.2,0
2024-06-10,26.8,24.8,0.0,17.6,0
2024-06-11,26.8,21.8,0.0,16.9,0
2024-06-12,26.9,22.5,0.0,13.7,0
2024-06-13,27.5,23.9,0.0,12.2,0
2024-06-14,28.1,25.3,0.0,22.7,0
2024-06-15,28.0,27.7,0.0,13.3,0
2024-06-16,28.6,29.6,0.0,18.4,0
2024-06-17,28.9,30.9,0.0,24.8,0
2024-06-18,28.7,33.1,0.0,23.0,0
2024-06-19,27.3,38.0,8.33,8.7,0
2024-06-20,23.7,51.1,20.83,15.1,0
2024-06-21,24.5,52.3,4.17,22.0,0
2024-06-22,23.6,64.9,29.17,11.9,0
2024-06-23,23.9,71.2,54.17,10.1,0
2024-06-24,23.5,75.5,66.67,11.9,0
2024-06-25,23.8,75.9,79.17,6.5,0
2024-06-26,23.0,83.1,75.0,6.1,0
2024-06-27,20.2,92.5,58.33,6.1,0
2024-06-28,21.5,83.3,29.17,6.5,0
2024-06-29,22.6,85.6,83.33,6.1,0
2024-06-30,22.6,86.5,70.83,7.6,0
2024-07-01,23.0,85.3,79.17,6.1,0
2024-07-02,22.8,87.7,83.33,5.4,0
2024-07-03,20.8,94.7,70.83,5.8,0
2024-07-04,21.7,90.1,83.33,5.0,0
2024-07-05,19.9,93.0,83.33,7.6,0
2024-07-06,18.7,98.2,83.33,6.5,0
2024-07-07,17.6,98.9,83.33,11.4,0
2024-07-08,17.7,96.7,54.17,7.9,0
2024-07-09,21.9,82.3,45.83,6.1,0
2024-07-10,22.7,83.7,79.17,7.9,0
2024-07-11,22.4,86.4,79.17,5.0,0
2024-07-12,21.9,86.7,79.17,5.4,0
2024-07-13,22.4,83.5,75.0,6.8,0
2024-07-14,23.0,82.7,66.67,9.4,0
2024-07-15,23.1,81.7,62.5,7.6,0
2024-07-16,23.3,85.3,66.67,9.4,0
2024-07-17,22.2,90.7,83.33,5.4,0
2024-07-18,22.8,86.2,75.0,10.8,0
2024-07-19,22.8,85.6,83.33,5.4,0
2024-07-20,23.0,85.0,58.33,6.5,0
2024-07-21,22.2,89.3,83.33,6.1,0
2024-07-22,20.5,93.0,58.33,5.0,0
2024-07-23,22.1,86.5,41.67,7.9,0
2024-07-24,22.8,85.5,58.33,6.8,0
2024-07-25,22.6,88.5,79.17,5.8,0
2024-07-26,22.5,89.3,79.17,5.4,0
2024-07-27,20.9,93.5,54.17,6.5,0
2024-07-28,23.8,80.2,25.0,7.6,0
2024-07-29,23.3,88.3,70.83,6.1,0
2024-07-30,22.9,88.4,70.83,5.8,0
2024-07-31,22.8,91.7,83.33,8.6,0
2024-08-01,23.1,82.4,58.33,9.0,0
2024-08-02,21.9,87.2,50.0,7.9,0
2024-08-03,20.4,93.5,54.17,5.8,0
2024-08-04,22.1,87.6,54.17,5.8,0
2024-08-05,21.8,88.3,66.67,7.6,0
2024-08-06,21.6,91.0,79.17,6.8,0
2024-08-07,19.6,96.7,70.83,11.2,0
2024-08-08,21.1,89.9,54.17,8.3,0
2024-08-09,21.3,90.3,62.5,6.1,0
2024-08-10,21.0,90.0,54.17,5.4,0
2024-08-11,20.8,92.4,75.0,6.2,0
2024-08-12,22.1,87.2,45.83,5.4,0
2024-08-13,21.3,90.6,58.33,6.4,0
2024-08-14,21.5,91.2,79.17,5.8,0
2024-08-15,22.6,85.7,41.67,7.6,0
2024-08-16,21.8,89.2,62.5,5.1,0
2024-08-17,22.3,87.0,66.67,6.2,0
2024-08-18,21.8,90.1,75.0,5.0,0
2024-08-19,21.0,92.2,83.33,7.6,0
2024-08-20,20.9,92.0,83.33,5.4,0
2024-08-21,20.2,93.4,83.33,7.2,0
2024-08-22,21.0,89.6,75.0,7.6,0
2024-08-23,20.6,90.5,83.33,3.6,0
2024-08-24,21.7,86.8,58.33,7.2,0
2024-08-25,22.1,84.6,54.17,8.3,0
2024-08-26,21.4,86.9,50.0,11.2,0
2024-08-27,22.0,82.8,41.67,8.6,0
2024-08-28,21.4,86.9,50.0,7.9,0
2024-08-29,21.4,86.4,33.33,6.1,0
2024-08-30,22.0,82.4,37.5,6.5,0
2024-08-31,21.63016393,88.08540984,55.99045902,6.978852459,0
2024-09-01,21.5,88.3,62.5,5.4,0
2024-09-02,19.2,96.3,66.67,5.4,0
2024-09-03,19.5,90.6,33.33,7.6,0
2024-09-04,20.3,87.2,45.83,6.1,0
2024-09-05,20.6,88.7,66.67,5.0,0
2024-09-06,20.1,88.0,54.17,7.2,0
2024-09-07,20.9,84.4,29.17,5.8,0
2024-09-08,21.6,83.2,50.0,9.4,0
2024-09-09,21.8,81.8,33.33,6.8,0
2024-09-10,21.4,85.0,45.83,6.5,0
2024-09-11,20.8,87.1,45.83,5.4,0
2024-09-12,17.8,97.9,66.67,37.1,0
2024-09-13,17.5,96.2,70.83,20.7,0
2024-09-14,18.5,90.2,20.83,7.6,0
2024-09-15,19.5,81.5,16.67,6.5,0
2024-09-16,20.3,82.9,20.83,7.2,0
2024-09-17,19.9,86.6,33.33,7.6,0
2024-09-18,18.9,82.6,4.17,6.1,0
2024-09-19,21.3,80.0,0.0,5.4,0
2024-09-20,22.2,80.0,20.83,6.1,0
2024-09-21,22.2,82.9,66.67,6.4,0
2024-09-22,22.2,80.7,20.83,6.1,0
2024-09-23,22.8,72.7,0.0,5.8,0
2024-09-24,22.7,73.9,20.83,8.6,0
2024-09-25,21.1,87.1,70.83,6.5,0
2024-09-26,18.9,93.8,79.17,5.8,0
2024-09-27,19.5,91.2,79.17,7.6,0
2024-09-28,19.4,91.0,66.67,5.4,0
2024-09-29,20.0,85.3,12.5,5.8,0
2024-09-30,20.7,83.2,4.17,5.8,0
2024-10-01,20.7,86.3,8.33,7.2,0
2024-10-02,21.0,84.4,41.67,6.5,0
2024-10-03,20.1,80.3,50.0,5.8,0
2024-10-04,19.2,79.9,37.5,8.3,0
2024-10-05,19.0,79.0,8.33,6.8,0
2024-10-06,18.5,76.9,25.0,6.1,0
2024-10-07,18.3,79.1,16.67,6.5,0
2024-10-08,18.2,80.0,12.5,7.6,0
2024-10-09,18.1,77.6,41.67,6.8,0
2024-10-10,17.5,75.9,37.5,6.8,0
2024-10-11,17.1,69.3,0.0,6.4,0
2024-10-12,17.5,69.2,0.0,7.6,0
2024-10-13,17.4,75.5,0.0,7.6,0
2024-10-14,17.1,80.7,37.5,7.6,0
2024-10-15,17.1,79.0,0.0,10.8,0
2024-10-16,17.0,80.2,37.5,10.8,0
2024-10-17,16.8,80.1,45.83,7.6,0
2024-10-18,16.5,74.2,29.17,5.4,0
2024-10-19,16.5,72.1,20.83,5.1,0
2024-10-20,16.1,71.0,25.0,5.1,0
2024-10-21,15.9,61.8,0.0,5.4,0
2024-10-22,16.2,64.2,0.0,5.4,0
2024-10-23,16.5,54.2,0.0,5.0,0
2024-10-24,17.3,54.8,0.0,6.2,0
2024-10-25,16.8,62.0,0.0,5.8,0
2024-10-26,16.9,78.2,0.0,7.6,0
2024-10-27,17.5,79.2,0.0,7.6,0
2024-10-28,17.8,78.9,4.17,7.2,0
2024-10-29,18.5,74.9,16.67,6.5,0
2024-10-30,18.2,72.6,4.17,5.4,0
2024-10-31,17.2,64.3,0.0,5.0,0
2024-11-01,17.3,77.4,0.0,4.3,0
2024-11-02,17.6,84.1,20.83,5.4,0
2024-11-03,17.3,87.5,91.67,4.3,0
2024-11-04,16.2,83.8,62.5,7.6,0
2024-11-05,14.6,87.8,75.0,3.6,0
2024-11-06,15.1,85.6,0.0,3.6,0
2024-11-07,16.2,81.8,0.0,10.8,0
2024-11-08,16.0,86.2,83.33,6.2,0
2024-11-09,15.8,86.4,75.0,5.4,0
2024-11-10,15.3,90.3,87.5,3.2,0
2024-11-11,15.2,81.7,29.17,4.0,0
2024-11-12,14.3,78.0,16.67,3.6,0
2024-11-13,14.2,75.3,0.0,3.6,0
2024-11-14,14.1,75.8,0.0,3.6,0
2024-11-15,14.2,70.9,0.0,4.3,0
2024-11-16,13.3,69.5,0.0,3.6,0
2024-11-17,12.2,53.0,0.0,4.7,0
2024-11-18,12.4,66.7,0.0,4.3,0
2024-11-19,12.4,77.9,0.0,4.3,0
2024-11-20,12.8,81.2,33.33,4.0,0
2024-11-21,12.3,84.7,79.17,4.0,0
2024-11-22,11.6,70.6,25.0,7.2,0
2024-11-23,11.4,78.4,41.67,5.1,0
2024-11-24,11.9,74.2,0.0,5.3,0
2024-11-25,11.4,72.0,0.0,5.1,0
2024-11-26,10.7,80.4,0.0,5.1,0
2024-11-27,10.5,81.4,0.0,5.4,0
2024-11-28,10.0,79.4,0.0,5.4,0
2024-11-29,10.4,76.2,0.0,5.1,0
2024-11-30,11.5,75.6,0.0,7.6,0
2024-12-01,12.4,74.5,8.33,3.6,0
2024-12-02,11.8,68.6,0.0,2.5,0
2024-12-03,11.3,66.8,0.0,4.3,0
2024-12-04,11.6,48.6,0.0,3.6,0
2024-12-05,11.2,38.8,0.0,5.0,0
2024-12-06,10.5,41.6,0.0,5.8,0
2024-12-07,8.8,47.3,0.0,7.2,0
2024-12-08,7.3,56.3,20.83,6.1,0
2024-12-09,6.5,68.0,25.0,9.0,0
2024-12-10,25.99,53,0,0,0
2024-12-11,25.04,96,2.57,2.53,0
2024-12-12,12.32,59,1.34,0,0
